ApplNo,Form,Dosage,drugname,activeingred
21082,TABLET; ORAL,500MG;EQ 0.25MG BASE;30MG,TAVIST ALLERGY/SINUS/HEADACHE,ACETAMINOPHEN; CLEMASTINE FUMARATE; PSEUDOEPHEDRINE HYDROCHLORIDE
21083,SOLUTION; ORAL,1MG/ML,RAPAMUNE,SIROLIMUS
21084,PASTE; TOPICAL,50%;50%,SKIN EXPOSURE REDUCTION PASTE AGAINST CHEMICAL WARFARE AGENTS,PERFLUOROPOLYMETHYLISOPROPYL ETHER; POLYTETRAFLUOROETHYLENE
21085,TABLET; ORAL,EQ 400MG BASE,AVELOX,MOXIFLOXACIN HYDROCHLORIDE
21086,"TABLET, ORALLY DISINTEGRATING; ORAL",5MG,ZYPREXA ZYDIS,OLANZAPINE
21086,"TABLET, ORALLY DISINTEGRATING; ORAL",10MG,ZYPREXA ZYDIS,OLANZAPINE
21086,"TABLET, ORALLY DISINTEGRATING; ORAL",15MG,ZYPREXA ZYDIS,OLANZAPINE
21086,"TABLET, ORALLY DISINTEGRATING; ORAL",20MG,ZYPREXA ZYDIS,OLANZAPINE
21087,CAPSULE; ORAL,EQ 75MG BASE,TAMIFLU,OSELTAMIVIR PHOSPHATE
21087,CAPSULE; ORAL,EQ 45MG BASE,TAMIFLU,OSELTAMIVIR PHOSPHATE
21087,CAPSULE; ORAL,EQ 30MG BASE,TAMIFLU,OSELTAMIVIR PHOSPHATE
21088,IMPLANT; IMPLANTATION,EQ 65MG BASE,VIADUR,LEUPROLIDE ACETATE
21090,TABLET; ORAL-28,"0.1MG,0.125MG,0.15MG;0.025MG,0.025MG,0.025MG",CYCLESSA,DESOGESTREL; ETHINYL ESTRADIOL
21092,FOR SOLUTION; ORAL,125MG/VIAL,HELICOSOL,UREA C-13
21093,TABLET; ORAL,16MG;12.5MG,ATACAND HCT,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE
21093,TABLET; ORAL,32MG;12.5MG,ATACAND HCT,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE
21093,TABLET; ORAL,32MG;25MG,ATACAND HCT,CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE
21097,TABLET; ORAL,0.398GM;1.102GM,VISICOL,"SODIUM PHOSPHATE, DIBASIC ANHYDROUS; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE"
21098,TABLET; ORAL-28,3MG;0.03MG,YASMIN,DROSPIRENONE; ETHINYL ESTRADIOL
21102,TABLET; ORAL,0,FEMHRT,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE
21103,TABLET; ORAL,1MG/0.5MG,ACTIVELLA,ESTRADIOL; NORETHINDRONE ACETATE
21105,TABLET; ORAL,"200MG,N/A,N/A;N/A,800MG,160MG",SULFAMETHOXAZOLE AND TRIMETHOPRIM AND PENAZOPYRIDINE HYDROCHLORIDE,PHENAZOPYRIDINE HYDROCHLORIDE; SULFAMETHOXAZOLE; TRIMETHOPRIM
21106,INJECTABLE; SUBCUTANEOUS,10MG/VIAL,SOMAVERT,PEGVISOMANT
21106,INJECTABLE; SUBCUTANEOUS,15MG/VIAL,SOMAVERT,PEGVISOMANT
21106,INJECTABLE; SUBCUTANEOUS,20MG/VIAL,SOMAVERT,PEGVISOMANT
21107,TABLET; ORAL,EQ 1MG BASE,LOTRONEX,ALOSETRON HYDROCHLORIDE
21107,TABLET; ORAL,EQ 0.5MG BASE,LOTRONEX,ALOSETRON HYDROCHLORIDE
21108,CREAM; TOPICAL,0.02%,RENOVA,TRETINOIN
21110,TABLET; ORAL,1MG,RAPAMUNE,SIROLIMUS
21110,TABLET; ORAL,2MG,RAPAMUNE,SIROLIMUS
21110,TABLET; ORAL,5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,RAPAMUNE,SIROLIMUS
21110,TABLET; ORAL,0.5MG,RAPAMUNE,SIROLIMUS
21112,CREAM; TOPICAL,0.01%;4%;0.05%,TRI-LUMA,FLUOCINOLONE ACETONIDE; HYDROQUINONE; TRETINOIN
21113,INJECTABLE; INJECTION,30MG/10ML (3MG/ML),PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM
21113,INJECTABLE; INJECTION,90MG/10ML (9MG/ML),PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM
21114,SUSPENSION/DROPS; OPHTHALMIC,EQ 0.5% BASE,BETAXON,LEVOBETAXOLOL HYDROCHLORIDE
21116,TABLET; ORAL,"0.025MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.05MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.075MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.1MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.125MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.15MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.175MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.2MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.3MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.088MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.112MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21116,TABLET; ORAL,"0.137MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",LEVOTHROID,LEVOTHYROXINE SODIUM
21117,INJECTABLE; INJECTION,100MG/ML,CALCIUM CHLORIDE 10% IN PLASTIC CONTAINER,CALCIUM CHLORIDE
21119,INJECTABLE; INJECTION,15MG/VIAL,VISUDYNE,VERTEPORFIN
21120,INJECTABLE; INJECTION,EQ 2MG BASE/ML,NOVANTRONE,MITOXANTRONE HYDROCHLORIDE
21121,"TABLET, EXTENDED RELEASE; ORAL",18MG,CONCERTA,METHYLPHENIDATE HYDROCHLORIDE
21121,"TABLET, EXTENDED RELEASE; ORAL",36MG,CONCERTA,METHYLPHENIDATE HYDROCHLORIDE
21121,"TABLET, EXTENDED RELEASE; ORAL",54MG,CONCERTA,METHYLPHENIDATE HYDROCHLORIDE
21121,"TABLET, EXTENDED RELEASE; ORAL",27MG,CONCERTA,METHYLPHENIDATE HYDROCHLORIDE
21123,TABLET; ORAL,325MG;37.5MG,ULTRACET,ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE
21124,SOLUTION; TOPICAL,1%,LAMISIL AT,TERBINAFINE HYDROCHLORIDE
21124,SPRAY; TOPICAL,1%,LAMISIL AT,TERBINAFINE HYDROCHLORIDE
21127,SOLUTION/DROPS; OPHTHALMIC,0.05%,OPTIVAR,AZELASTINE HYDROCHLORIDE
21128,SUSPENSION; ORAL,100MG/5ML;15MG/5ML,CHILDREN'S MOTRIN COLD,IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
21129,SOLUTION; ORAL,250MG/5ML,NEURONTIN,GABAPENTIN
21130,TABLET; ORAL,400MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,ZYVOX,LINEZOLID
21130,TABLET; ORAL,600MG,ZYVOX,LINEZOLID
21131,INJECTABLE; INJECTION,200MG/100ML,ZYVOX,LINEZOLID
21132,FOR SUSPENSION; ORAL,100MG/5ML,ZYVOX,LINEZOLID
21134,TABLET; SUBLINGUAL,0.3MG,NITROSTAT,NITROGLYCERIN
21134,TABLET; SUBLINGUAL,0.4MG,NITROSTAT,NITROGLYCERIN
21134,TABLET; SUBLINGUAL,0.6MG,NITROSTAT,NITROGLYCERIN
21135,INJECTABLE; INTRAVENOUS,EQ 100MG BASE/5ML (EQ 20MG BASE/ML),VENOFER,IRON SUCROSE
21135,INJECTABLE; INTRAVENOUS,EQ 50MG BASE/2.5ML (EQ 20MG BASE/ML),VENOFER,IRON SUCROSE
21135,INJECTABLE; INTRAVENOUS,EQ 75MG BASE/3.75ML (EQ 20MG BASE/ML),VENOFER,IRON SUCROSE
21135,INJECTABLE; INTRAVENOUS,EQ 200MG BASE/10ML (EQ 20MG BASE/ML),VENOFER,IRON SUCROSE
21136,FOR SOLUTION; INTRAVENOUS,16MCG/VIAL,SECREFLO,SECRETIN SYNTHETIC PORCINE
21137,TABLET; ORAL,0.025MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.05MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.075MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.088MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.1MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.112MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.125MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.137MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.15MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.175MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.2MG,LEVOLET,LEVOTHYROXINE SODIUM
21137,TABLET; ORAL,0.3MG,LEVOLET,LEVOTHYROXINE SODIUM
21140,TABLET; ORAL,2MG;125MG,IMODIUM MULTI-SYMPTOM RELIEF,LOPERAMIDE HYDROCHLORIDE; SIMETHICONE
21141,CAPSULE; ORAL,375MG,WELCHOL,COLESEVELAM HYDROCHLORIDE
21142,"AEROSOL, FOAM; TOPICAL",0.05%,OLUX,CLOBETASOL PROPIONATE
21143,CREAM; VAGINAL,2%,TRIVAGIZOLE 3,CLOTRIMAZOLE
21144,TABLET; ORAL,400MG,KETEK,TELITHROMYCIN
21144,TABLET; ORAL,300MG,KETEK,TELITHROMYCIN
21145,CREAM; TOPICAL,13.90%,VANIQA,EFLORNITHINE HYDROCHLORIDE
21146,INJECTABLE; IM-IV-SC,0.1MG/ML,ATROPINE SULFATE ANSYR PLASTIC SYRINGE,ATROPINE SULFATE
21146,INJECTABLE; IM-IV-SC,0.05MG/ML,ATROPINE SULFATE ANSYR PLASTIC SYRINGE,ATROPINE SULFATE
21148,INJECTABLE; INJECTION,5MG/1.5ML,NORDITROPIN,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,10MG/1.5ML,NORDITROPIN,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,15MG/1.5ML,NORDITROPIN,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,5MG/1.5ML,NORDITROPIN NORDIFLEX,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,10MG/1.5ML,NORDITROPIN NORDIFLEX,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,15MG/1.5ML,NORDITROPIN NORDIFLEX,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,30MG/3ML,NORDITROPIN NORDIFLEX,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,5MG/1.5ML,NORDITROPIN FLEXPRO,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,10MG/1.5ML,NORDITROPIN FLEXPRO,SOMATROPIN RECOMBINANT
21148,INJECTABLE; INJECTION,15MG/1.5ML,NORDITROPIN FLEXPRO,SOMATROPIN RECOMBINANT
21149,INJECTABLE; INJECTION,0.25MG/VIAL,OVIDREL,CHORIOGONADOTROPIN ALFA
21149,INJECTABLE; SUBCUTANEOUS,EQ 0.25MG /0.5ML,OVIDREL,CHORIOGONADOTROPIN ALFA
21150,"TABLET, EXTENDED RELEASE; ORAL",5MG;120MG,ZYRTEC-D 12 HOUR,CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE
21151,TABLET; ORAL,80MG,BETAPACE AF,SOTALOL HYDROCHLORIDE
21151,TABLET; ORAL,120MG,BETAPACE AF,SOTALOL HYDROCHLORIDE
21151,TABLET; ORAL,160MG,BETAPACE AF,SOTALOL HYDROCHLORIDE
21151,TABLET; ORAL,100MG,BETAPACE AF,SOTALOL HYDROCHLORIDE
21151,TABLET; ORAL,40MG,BETAPACE AF,SOTALOL HYDROCHLORIDE
21151,TABLET; ORAL,60MG,BETAPACE AF,SOTALOL HYDROCHLORIDE
21152,LOTION; TOPICAL,0.05%,CUTIVATE,FLUTICASONE PROPIONATE
21153,"CAPSULE, DELAYED REL PELLETS; ORAL",EQ 20MG BASE,NEXIUM,ESOMEPRAZOLE MAGNESIUM
21153,"CAPSULE, DELAYED REL PELLETS; ORAL",EQ 40MG BASE,NEXIUM,ESOMEPRAZOLE MAGNESIUM
21156,Capsule; Oral,100MG,CELEBREX,CELECOXIB
21156,Capsule; Oral,200MG,CELEBREX,CELECOXIB
21156,Capsule; Oral,400MG,CELEBREX,CELECOXIB
21158,TABLET; ORAL,EQ 320MG BASE,FACTIVE,GEMIFLOXACIN MESYLATE
21159,SHAMPOO; TOPICAL,1%,LOPROX,CICLOPIROX
21160,CAPSULE; ORAL,EQ 84.5MG CALCIUM,PHOSLO,CALCIUM ACETATE
21160,CAPSULE; ORAL,EQ 169MG CALCIUM,PHOSLO,CALCIUM ACETATE
21160,CAPSULE; ORAL,EQ 169MG CALCIUM,PHOSLO GELCAPS,CALCIUM ACETATE
21162,TABLET; ORAL,12.5MG;40MG,MICARDIS HCT,HYDROCHLOROTHIAZIDE; TELMISARTAN
21162,TABLET; ORAL,12.5MG;80MG,MICARDIS HCT,HYDROCHLOROTHIAZIDE; TELMISARTAN
21162,TABLET; ORAL,25MG;80MG,MICARDIS HCT,HYDROCHLOROTHIAZIDE; TELMISARTAN
21163,INJECTABLE; INJECTION,2 IU/ML;40MG/ML;12MCG/ML;40 IU/ML;1MCG/ML;3MG/ML;120MCG/ML;8MG/ML;1.2MG/ML;0.72MG/ML;1.2MG/ML;660 IU/ML;0.03MG/ML,INFUVITE ADULT,ALPHA-TOCOPHEROL ACETATE; ASCORBIC ACID; BIOTIN; CHOLECALCIFEROL; CYANOCOBALAMIN; DEXPANTHENOL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN K
21165,TABLET; ORAL,5MG,CLARINEX,DESLORATADINE
21166,GEL; TOPICAL,0.06%,ESTROGEL,ESTRADIOL
21166,"GEL, METERED; TRANSDERMAL",0.06% (1.25GM/ACTIVATION),ESTROGEL,ESTRADIOL
21167,"FILM, EXTENDED RELEASE; TRANSDERMAL",0.0375MG/24HR,VIVELLE,ESTRADIOL
21167,"FILM, EXTENDED RELEASE; TRANSDERMAL",0.05MG/24HR,VIVELLE,ESTRADIOL
21167,"FILM, EXTENDED RELEASE; TRANSDERMAL",0.075MG/24HR,VIVELLE,ESTRADIOL
21167,"FILM, EXTENDED RELEASE; TRANSDERMAL",0.1MG/24HR,VIVELLE,ESTRADIOL
21167,"FILM, EXTENDED RELEASE; TRANSDERMAL",0.025MG/24HR,VIVELLE,ESTRADIOL
21168,"TABLET, EXTENDED RELEASE; ORAL",EQ 500MG VALPROIC ACID,DEPAKOTE ER,DIVALPROEX SODIUM
21168,"TABLET, EXTENDED RELEASE; ORAL",EQ 250MG VALPROIC ACID,DEPAKOTE ER,DIVALPROEX SODIUM
21169,TABLET; ORAL,EQ 4MG BASE,RAZADYNE,GALANTAMINE HYDROBROMIDE
21169,TABLET; ORAL,EQ 8MG BASE,RAZADYNE,GALANTAMINE HYDROBROMIDE
21169,TABLET; ORAL,EQ 12MG BASE,RAZADYNE,GALANTAMINE HYDROBROMIDE
21171,INJECTABLE; INJECTION,25MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
21171,INJECTABLE; INJECTION,50MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
21171,INJECTABLE; INJECTION,75MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
21171,INJECTABLE; INJECTION,100MG/ML,DEMEROL,MEPERIDINE HYDROCHLORIDE
21172,INJECTABLE; SUBCUTANEOUS,70 UNITS/ML;30 UNITS/ML,NOVOLOG MIX 70/30,INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN ASPART RECOMBINANT
21174,INJECTABLE; INJECTION,5MG/VIAL,MYLOTARG,GEMTUZUMAB OZOGAMICIN
21175,INJECTABLE; INTRAMUSCULAR,2.1MG/0.7ML;600MG/0.7ML,ATNAA,ATROPINE; PRALIDOXIME CHLORIDE
21176,TABLET; ORAL,625MG,WELCHOL,COLESEVELAM HYDROCHLORIDE
21178,TABLET; ORAL,1.25MG;250MG,GLUCOVANCE,GLYBURIDE; METFORMIN HYDROCHLORIDE
21178,TABLET; ORAL,2.5MG;500MG,GLUCOVANCE,GLYBURIDE; METFORMIN HYDROCHLORIDE
21178,TABLET; ORAL,5MG;500MG,GLUCOVANCE,GLYBURIDE; METFORMIN HYDROCHLORIDE
21179,TABLET; ORAL,400MG,RENAGEL,SEVELAMER HYDROCHLORIDE
21179,TABLET; ORAL,800MG,RENAGEL,SEVELAMER HYDROCHLORIDE
21180,"FILM, EXTENDED RELEASE; TRANSDERMAL",0.02MG/24HR;0.15MG/24HR,ORTHO EVRA,ETHINYL ESTRADIOL; NORELGESTROMIN
21183,"CAPSULE, DELAYED REL PELLETS; ORAL",125MG,VIDEX EC,DIDANOSINE
21183,"CAPSULE, DELAYED REL PELLETS; ORAL",200MG,VIDEX EC,DIDANOSINE
21183,"CAPSULE, DELAYED REL PELLETS; ORAL",250MG,VIDEX EC,DIDANOSINE
21183,"CAPSULE, DELAYED REL PELLETS; ORAL",400MG,VIDEX EC,DIDANOSINE
21184,CREAM; TOPICAL,0.05%,TAZORAC,TAZAROTENE
21184,CREAM; TOPICAL,0.10%,TAZORAC,TAZAROTENE
21184,CREAM; TOPICAL,0.10%,AVAGE,TAZAROTENE
21187,RING; VAGINAL,0.015MG;0.12MG,NUVARING,ETHINYL ESTRADIOL; ETONOGESTREL
21190,CAPSULE; ORAL,5MG,BUSPAR,BUSPIRONE HYDROCHLORIDE
21190,CAPSULE; ORAL,7.5MG,BUSPAR,BUSPIRONE HYDROCHLORIDE
21190,CAPSULE; ORAL,10MG,BUSPAR,BUSPIRONE HYDROCHLORIDE
21190,CAPSULE; ORAL,15MG,BUSPAR,BUSPIRONE HYDROCHLORIDE
21191,INJECTABLE; INTRAVENOUS,0.92MG/VIAL;0.092MG/VIAL,IMAGENT,DIMYRISTOYL LECITHIN; PERFLEXANE
21192,"TABLET, EXTENDED RELEASE; ORAL",80MG,LESCOL XL,FLUVASTATIN SODIUM
21196,SOLUTION; ORAL,500MG/ML,XYREM,SODIUM OXYBATE
21197,INJECTABLE; INJECTION,EQ 0.25MG BASE/ML,CETROTIDE,CETRORELIX
21197,INJECTABLE; INJECTION,EQ 3MG BASE/ML,CETROTIDE,CETRORELIX
21199,SOLUTION/DROPS; OPHTHALMIC,0.50%,QUIXIN,LEVOFLOXACIN
21200,TABLET; ORAL,EQ 2MG BASE,ZELNORM,TEGASEROD MALEATE
21200,TABLET; ORAL,EQ 6MG BASE,ZELNORM,TEGASEROD MALEATE
21201,SOLUTION; INTRAVENOUS,10MG/2ML (5MG/ML),ASCLERA,POLIDOCANOL
21201,SOLUTION; INTRAVENOUS,20MG/2ML (10MG/ML),ASCLERA,POLIDOCANOL
21202,"TABLET, EXTENDED RELEASE; ORAL",500MG,GLUCOPHAGE XR,METFORMIN HYDROCHLORIDE
21202,"TABLET, EXTENDED RELEASE; ORAL",750MG,GLUCOPHAGE XR,METFORMIN HYDROCHLORIDE
21203,TABLET; ORAL,54MG,TRICOR,FENOFIBRATE
21203,TABLET; ORAL,160MG,TRICOR,FENOFIBRATE
21204,TABLET; ORAL,60MG,STARLIX,NATEGLINIDE
21204,TABLET; ORAL,120MG,STARLIX,NATEGLINIDE
21205,TABLET; ORAL,EQ 300MG BASE;150MG;300MG,TRIZIVIR,ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE
21208,"TABLET, ORALLY DISINTEGRATING; ORAL",15MG,REMERON SOLTAB,MIRTAZAPINE
21208,"TABLET, ORALLY DISINTEGRATING; ORAL",30MG,REMERON SOLTAB,MIRTAZAPINE
21208,"TABLET, ORALLY DISINTEGRATING; ORAL",45MG,REMERON SOLTAB,MIRTAZAPINE
21209,For Solution; Intravenous,16UGM/VIAL,SECREFLO,SECRETIN
21210,TABLET; ORAL,"0.025MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.05MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.075MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.088MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.1MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.112MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.125MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.15MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.175MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.2MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.3MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21210,TABLET; ORAL,"0.137MG **See current Annual Edition, 1.8 Description of Special Situations, Levothyroxine Sodium",UNITHROID,LEVOTHYROXINE SODIUM
21211,INJECTABLE; SUBCUTANEOUS,300 IU/0.36ML,FOLLISTIM AQ,FOLLITROPIN ALFA/BETA
21211,INJECTABLE; SUBCUTANEOUS,600 IU/0.72ML,FOLLISTIM AQ,FOLLITROPIN ALFA/BETA
21211,INJECTABLE; SUBCUTANEOUS,150 IU/0.18ML,FOLLISTIM AQ,FOLLITROPIN ALFA/BETA
21211,INJECTABLE; SUBCUTANEOUS,900 IU/1.08ML,FOLLISTIM AQ,FOLLITROPIN ALFA/BETA
21212,INJECTABLE; INJECTION,0.01MG/VIAL,CAVERJECT IMPULSE,ALPROSTADIL
21212,INJECTABLE; INJECTION,0.02MG/VIAL,CAVERJECT IMPULSE,ALPROSTADIL
21214,SOLUTION/DROPS; OPHTHALMIC,0.15%,RESCULA,UNOPROSTONE ISOPROPYL
21216,SOLUTION; ORAL,0,NEURONTIN,GABAPENTIN
21217,"TABLET, EXTENDED RELEASE; ORAL",8MG,EXALGO,HYDROMORPHONE HYDROCHLORIDE
21217,"TABLET, EXTENDED RELEASE; ORAL",12MG,EXALGO,HYDROMORPHONE HYDROCHLORIDE
21217,"TABLET, EXTENDED RELEASE; ORAL",16MG,EXALGO,HYDROMORPHONE HYDROCHLORIDE
21222,TABLET; ORAL,200MG,SPECTRACEF,CEFDITOREN PIVOXIL
21222,TABLET; ORAL,400MG,SPECTRACEF,CEFDITOREN PIVOXIL
21223,INJECTABLE; IV (INFUSION),EQ 4MG BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,ZOMETA,ZOLEDRONIC ACID
21223,INJECTABLE; IV (INFUSION),EQ 4MG BASE/5ML,ZOMETA,ZOLEDRONIC ACID
21223,INJECTABLE; IV (INFUSION),EQ 4MG BASE/100ML,ZOMETA,ZOLEDRONIC ACID
21224,SOLUTION; ORAL,4MG/ML,RAZADYNE,GALANTAMINE HYDROBROMIDE
21225,INTRAUTERINE DEVICE; INTRAUTERINE,52MG,MIRENA,LEVONORGESTREL
21226,CAPSULE; ORAL,133.3MG;33.3MG,KALETRA,LOPINAVIR; RITONAVIR
21227,INJECTABLE; IV (INFUSION),50MG/VIAL,CANCIDAS,CASPOFUNGIN ACETATE
21227,INJECTABLE; IV (INFUSION),70MG/VIAL,CANCIDAS,CASPOFUNGIN ACETATE
21228,"CAPSULE, EXTENDED RELEASE; ORAL",2MG,DETROL LA,TOLTERODINE TARTRATE
21228,"CAPSULE, EXTENDED RELEASE; ORAL",4MG,DETROL LA,TOLTERODINE TARTRATE
21229,"TABLET, DELAYED RELEASE; ORAL",EQ 20MG BASE,PRILOSEC OTC,OMEPRAZOLE MAGNESIUM
21231,"TABLET, ORALLY DISINTEGRATING; ORAL",2.5MG,ZOMIG-ZMT,ZOLMITRIPTAN
21231,"TABLET, ORALLY DISINTEGRATING; ORAL",5MG,ZOMIG-ZMT,ZOLMITRIPTAN
21232,CAPSULE; ORAL,2MG,ORFADIN,NITISINONE
21232,CAPSULE; ORAL,5MG,ORFADIN,NITISINONE
21232,CAPSULE; ORAL,10MG,ORFADIN,NITISINONE
21234,PATCH; TOPICAL,1.30%,FLECTOR,DICLOFENAC EPOLAMINE
21235,"CAPSULE, DELAYED REL PELLETS; ORAL",EQ 90MG BASE,PROZAC WEEKLY,FLUOXETINE HYDROCHLORIDE
21238,SOLUTION; ORAL,EQ 2MG BASE/10ML,KYTRIL,GRANISETRON HYDROCHLORIDE
21241,TABLET; ORAL-28,"0.025MG,0.025MG,0.025MG;0.18MG,0.215MG,0.25MG",ORTHO TRI-CYCLEN LO,ETHINYL ESTRADIOL; NORGESTIMATE
21243,TABLET; ORAL,500MG,AZULFIDINE EN-TABS,SULFASALAZINE
21246,FOR SUSPENSION; ORAL,EQ 12MG BASE/ML,TAMIFLU,OSELTAMIVIR PHOSPHATE
21246,FOR SUSPENSION; ORAL,EQ 6MG BASE/ML,TAMIFLU,OSELTAMIVIR PHOSPHATE
21247,"AEROSOL, METERED; INHALATION",EQ 78MCG BASE/INH,AEROSPAN HFA,FLUNISOLIDE
21248,INJECTABLE; INJECTION,1MG/ML,TRISENOX,ARSENIC TRIOXIDE
21249,"TABLET, EXTENDED RELEASE; ORAL",20MG;500MG,ADVICOR,LOVASTATIN; NIACIN
21249,"TABLET, EXTENDED RELEASE; ORAL",20MG;750MG,ADVICOR,LOVASTATIN; NIACIN
21249,"TABLET, EXTENDED RELEASE; ORAL",20MG;1GM,ADVICOR,LOVASTATIN; NIACIN
