ApplNo,SponsorApplicant
17588,BRISTOL MYERS SQUIBB                              
17589,ROCHE                                             
17594,WESTWOOD SQUIBB                                   
17598,MONARCH PHARMS                                    
17601,SCHERING                                          
17603,SANOFI AVENTIS US                                 
17604,PEDINOL                                           
17605,SAVAGE LABS                                       
17606,HOSPIRA                                           
17607,HOSPIRA                                           
17608,HOSPIRA                                           
17609,HOSPIRA                                           
17610,HOSPIRA                                           
17612,WYETH PHARMS INC                                  
17613,SCHERING PLOUGH                                   
17618,SANOFI AVENTIS US                                 
17619,SCHERING PLOUGH                                   
17624,BAXTER HLTHCARE CORP                              
17628,ORTHO MCNEIL JANSSEN                              
17630,GE HEALTHCARE                                     
17633,HOSPIRA                                           
17634,BAXTER HLTHCARE                                   
17635,HOSPIRA                                           
17636,HOSPIRA                                           
17637,HOSPIRA                                           
17638,ABBOTT                                            
17641,HOSPIRA                                           
17643,FRESENIUS                                         
17646,SERONO                                            
17648,BAXTER HLTHCARE                                   
17651,APP PHARMS                                        
17653,GE HEALTHCARE                                     
17655,GE HEALTHCARE                                     
17656,HOSPIRA                                           
17657,SANOFI AVENTIS US                                 
17658,WATSON LABS                                       
17659,BOEHRINGER INGELHEIM                              
17661,NOVARTIS                                          
17664,GE HEALTHCARE                                     
17667,GE HEALTHCARE                                     
17668,SANOFI AVENTIS US                                 
17669,SANOFI AVENTIS US                                 
17670,HOSPIRA                                           
17672,SOLVAY                                            
17673,HOSPIRA                                           
17675,ROBINS AH                                         
17680,BRACCO                                            
17681,SANOFI AVENTIS US                                 
17683,AKRIMAX PHARMS
17684,PHARMALUCENCE                                     
17685,MALLINCKRODT                                      
17687,GE HEALTHCARE                                     
17688,SANOFI AVENTIS US                                 
17690,MCNEIL PED                                        
17691,SCHERING                                          
17692,ORGANON USA INC                                   
17693,GE HEALTHCARE                                     
17694,MCNEIL CONS                                       
17697,BRACCO                                            
17698,HOSPIRA                                           
17700,GE HEALTHCARE                                     
17701,INTL MEDICATION                                   
17702,INTL MEDICATION                                   
17703,ABBOTT                                            
17707,GE HEALTHCARE                                     
17710,DISTA                                             
17714,PHARMALUCENCE                                     
17716,WARNER CHILCOTT                                   
17717,SCHERING PLOUGH                                   
17724,MALLINCKRODT                                      
17725,MALLINCKRODT                                      
17726,SERONO                                            
17735,JANSSEN PHARMS                                    
17736,SCHERING                                          
17739,INSIGHT PHARMS                                    
17741,PHARMACIA AND UPJOHN                              
17743,WATSON LABS                                       
17744,VALEANT                                           
17751,ASTRAZENECA                                       
17756,MCNEIL CONS                                       
17760,ALLERGAN                                          
17765,PROMIUS PHARMA LLC                                
17766,B BRAUN                                           
17768,MOLNLYCKE HLTH                                    
17769,SANOFI AVENTIS US                                 
17771,LANTHEUS MEDCL                                    
17773,GE HEALTHCARE                                     
17775,GE HEALTHCARE                                     
17776,PHARMALUCENCE                                     
17780,PHARM SPEC                                        
17781,SCHERING                                          
17783,PFIZER                                            
17784,GE HEALTHCARE                                     
17785,ORTHO MCNEIL PHARM                                
17787,ABBOTT                                            
17788,BIONICHE PHARMA                                   
17789,HOSPIRA                                           
17792,PHARMALUCENCE                                     
17794,VALEANT INTL                                      
17796,SANOFI AVENTIS US                                 
17799,HOSPIRA                                           
17802,WYETH PHARMS                                      
17806,LANTHEUS MEDCL                                    
17807,NEW RIVER                                         
17808,NOVARTIS                                          
17810,PHARMACIA AND UPJOHN                              
17812,ROXANE                                            
17813,VALEANT PHARM INTL                                
17814,IROKO PHARMS                                      
17818,WESTWOOD SQUIBB                                   
17820,LILLY                                             
17821,JANSSEN R AND D                                   
17823,RANBAXY                                           
17824,RANBAXY                                           
17829,SCHERING                                          
17830,ATON                                              
17831,PROCTER AND GAMBLE                                
17832,3M                                                
17833,BRACCO                                            
17835,ISO TEX                                           
17836,ISO TEX                                           
17837,ISO TEX                                           
17838,GE HEALTHCARE                                     
17842,MALLINCKRODT                                      
17844,MALLINCKRODT                                      
17846,BAYER PHARMS                                      
17848,GE HEALTHCARE                                     
17849,LEHIGH VALLEY                                     
17850,APOTHECON                                         
17851,NOVARTIS                                          
17853,SCHERING                                          
17854,ANI PHARMS                                        
17856,TARO PHARMS NORTH                                 
17857,APOTHECON                                         
17858,PHARMALUCENCE                                     
17861,ARMOUR PHARM                                      
17862,BAXTER HLTHCARE CORP                              
17863,BAXTER HLTHCARE                                   
17864,BAXTER HLTHCARE                                   
17865,BAXTER HLTHCARE                                   
17866,BAXTER HLTHCARE                                   
17867,BAXTER HLTHCARE                                   
17869,NOVARTIS                                          
17871,ATON                                              
17874,NOVARTIS                                          
17875,WARNER CHILCOTT                                   
17876,WARNER CHILCOTT                                   
17879,GE HEALTHCARE                                     
17881,DRAXIMAGE                                         
17884,SANOFI AVENTIS US                                 
17892,PHARMACIA AND UPJOHN                              
17895,ABBOTT                                            
17902,BRACCO                                            
17903,BRACCO                                            
17906,SOLVAY                                            
17907,BRISTOL MYERS SQUIBB                              
17911,MERCK                                             
17914,BAYER PHARMS                                      
17916,SYNCOR PHARMS                                     
17917,WARNER CHILCOTT                                   
17919,JANSSEN PHARMS                                    
17920,GLAXOSMITHKLINE                                   
17922,SANOFI AVENTIS US                                 
17923,NOVARTIS                                          
17924,GLAXOSMITHKLINE                                   
17926,NOVO NORDISK INC                                  
17928,BRISTOL MYERS SQUIBB                              
17929,NOVO NORDISK INC                                  
17931,LILLY                                             
17932,LILLY                                             
17936,LILLY                                             
17938,ENDO PHARMS                                       
17939,GLAXOSMITHKLINE                                   
17941,GLAXOSMITHKLINE                                   
17943,MONARCH PHARMS                                    
17944,GE HEALTHCARE                                     
17950,RANBAXY                                           
17952,ROCHE                                             
17954,HOSPIRA                                           
17955,ORTHO JANSSEN                                     
17956,3M                                                
17957,HOSPIRA INC                                       
17959,PHARMACIA AND UPJOHN                              
17962,NOVARTIS                                          
17963,NOVARTIS                                          
17968,PHARMACIA AND UPJOHN                              
17970,ASTRAZENECA                                       
17971,JDS PHARMS                                        
17972,PHARMALUCENCE                                     
17979,ABRAXIS PHARM                                     
17980,WYETH AYERST                                      
17982,GE HEALTHCARE                                     
17986,PFIZER                                            
17989,PHARMACIA AND UPJOHN                              
17992,GENENTECH                                         
17993,NOVARTIS                                          
17994,PHARMACIA AND UPJOHN                              
17995,B BRAUN                                           
17996,NOVO NORDISK INC                                  
17997,NOVO NORDISK INC                                  
17998,NOVO NORDISK INC                                  
18000,SANOFI AVENTIS US                                 
18004,AKORN                                             
18006,PARKE DAVIS                                       
18008,BAXTER HLTHCARE                                   
18009,PROCTER AND GAMBLE                                
18012,MALLINCKRODT INC                                  
18013,MALLINCKRODT LLC                                  
18014,INTL MEDICATION                                   
18016,BAXTER HLTHCARE                                   
18017,MERCK                                             
18021,LEDERLE                                           
18023,B BRAUN                                           
18024,ENDO PHARMS                                       
18025,INTL MEDICATION                                   
18026,B BRAUN                                           
18027,NOVEN THERAP                                      
18029,NOVARTIS                                          
18030,B BRAUN                                           
18031,AKRIMAX PHARMS                                    
18035,DRAXIMAGE                                         
18037,BAXTER HLTHCARE                                   
18039,WATSON LABS                                       
18040,JANSSEN PHARMA                                    
18044,VALIDUS PHARMS                                    
18045,PHARMACIA AND UPJOHN                              
18046,B BRAUN                                           
18047,B BRAUN                                           
18050,UCB INC                                           
18052,SCHERING PLOUGH                                   
18053,HOSPIRA                                           
18055,ABBOTT                                            
18057,CORDEN PHARMA                                     
18058,MALLINCKRODT                                      
18060,G AND W LABS                                      
18061,MERCK                                             
18062,SCHERING                                          
18063,KING PHARMS                                       
18066,CHATTEM                                           
18067,LILLY                                             
18069,PFIZER                                            
18074,SANDOZ                                            
18076,BRACCO                                            
18077,BRACCO                                            
18080,HOSPIRA                                           
18081,ABBOTT                                            
18082,ABBOTT                                            
18084,ORTHO MCNEIL JANSSEN                              
18086,ATON                                              
18087,FERRING                                           
18088,GE HEALTHCARE                                     
18089,PARKE DAVIS                                       
18090,HOSPIRA                                           
18096,HOSPIRA                                           
18099,GLAXOSMITHKLINE                                   
18101,ENDO PHARMS                                       
18102,PHARMACIA AND UPJOHN                              
18104,PHARMACIA AND UPJOHN                              
18107,BRACCO                                            
18110,GE HEALTHCARE                                     
18115,NOVARTIS                                          
18116,ASTELLAS                                          
18117,ABBOTT                                            
18118,GLAXOSMITHKLINE LLC                               
18121,NOVARTIS                                          
18123,HIKMA (MAPLE)                                     
18124,PHARMALUCENCE                                     
18125,BRISTOL MYERS SQUIBB                              
18127,WARNER CHILCOTT                                   
18128,WARNER CHILCOTT                                   
18132,HOSPIRA                                           
18138,WARNER CHILCOTT                                   
18140,BAXTER HLTHCARE CORP                              
18141,GE HEALTHCARE                                     
18144,PARKE DAVIS                                       
18147,PFIZER                                            
18148,IVAX RES                                          
18150,MALLINCKRODT                                      
18152,JDS PHARMS                                        
18153,GLAXOSMITHKLINE                                   
18154,PHARMACIA AND UPJOHN                              
18155,ALLERGAN                                          
18156,B BRAUN                                           
18160,GD SEARLE LLC                                     
18161,B BRAUN                                           
18163,MALLINCKRODT INC                                  
18164,ROCHE PALO                                        
18166,NOVARTIS                                          
18168,GD SEARLE LLC                                     
18173,PHARMACIA AND UPJOHN                              
18179,ROCHE                                             
18181,BAYER HLTHCARE                                    
18182,BAYER PHARMS                                      
18183,BAYER PHARMS                                      
18184,B BRAUN                                           
18185,IROKO PHARMS                                      
18186,B BRAUN                                           
18191,SCHERING PLOUGH                                   
18193,NOVO NORDISK INC                                  
18194,NOVO NORDISK INC                                  
18195,NOVO NORDISK INC                                  
18197,BASF                                              
18200,PADDOCK LLC                                       
18201,MERCK                                             
18202,NOVARTIS                                          
18203,ABBOTT                                            
18205,GD SEARLE LLC                                     
18207,APOTHECON                                         
18211,ORTHO MCNEIL JANSSEN                              
18225,VALIDUS PHARMS INC                                
18226,VALIDUS PHARMS INC                                
18227,HOSPIRA                                           
18229,B BRAUN                                           
18230,BAYER PHARMS                                      
18232,FISONS                                            
18233,HOSPIRA                                           
18234,RANBAXY                                           
18237,SANOFI AVENTIS US                                 
18238,NESHER PHARMS                                     
18239,ALLERGAN                                          
18240,ASTRAZENECA                                       
18241,WATSON LABS                                       
18242,TEVA                                              
18243,BAXTER HLTHCARE CORP                              
18245,NOVARTIS                                          
18246,MILES                                             
18247,MILES                                             
18248,APP PHARMS                                        
18249,HOSPIRA                                           
18251,HOSPIRA                                           
18252,B BRAUN                                           
18254,HOSPIRA                                           
18256,B BRAUN                                           
18257,ASTRAZENECA                                       
18258,B BRAUN                                           
18261,JHP PHARMS                                        
18263,PHARMALUCENCE                                     
18264,JHP PHARMS                                        
18267,BAXTER HLTHCARE                                   
18268,B BRAUN                                           
18269,B BRAUN                                           
18270,B BRAUN                                           
18271,B BRAUN                                           
18272,DRAXIMAGE                                         
18273,B BRAUN                                           
18274,B BRAUN                                           
18276,PHARMACIA AND UPJOHN                              
18279,ABBOTT                                            
18281,NOVARTIS                                          
18285,NOVARTIS                                          
18289,GE HEALTHCARE                                     
18290,FERRING                                           
18296,PHARMACIA AND UPJOHN                              
18297,ABBOTT                                            
18298,NOVARTIS                                          
18299,MONARCH PHARMS                                    
18300,MOLNLYCKE HLTH                                    
18303,NOVARTIS                                          
18304,APP PHARMS                                        
18307,MEDPOINTE PHARM HLC                               
18309,TARO PHARMS NORTH                                 
18310,COVIDIEN                                          
18312,ORGANON USA INC                                   
18313,HOSPIRA                                           
18314,HOSPIRA                                           
18315,HOSPIRA                                           
18316,HOSPIRA                                           
18321,MALLINCKRODT                                      
18327,MALLINCKRODT                                      
18332,IROKO PHARMS                                      
18333,APTALIS PHARMA US                                 
18335,GE HEALTHCARE                                     
18336,BAXTER HLTHCARE                                   
18337,ACTAVIS MID ATLANTIC                              
18340,ROCHE PALO                                        
18342,GLAXOSMITHKLINE                                   
18343,PAR PHARM                                         
18344,LILLY                                             
18345,LILLY                                             
18346,LILLY                                             
18347,LILLY                                             
18353,PFIZER                                            
18354,ORTHO MCNEIL JANSSEN                              
18358,B BRAUN                                           
18361,EMD SERONO                                        
18362,HOSPIRA                                           
18363,PROF DSPLS                                        
18365,HOSPIRA                                           
18366,SAVAGE LABS                                       
18369,WATSON LABS                                       
18370,SUPERPHARM                                        
18371,HOSPIRA                                           
18374,MUTUAL PHARM                                      
18375,XTTRIUM                                           
18376,B BRAUN                                           
18379,FRESENIUS MEDCL                                   
18380,HOSPIRA                                           
18381,NOVO NORDISK INC                                  
18382,NOVO NORDISK INC                                  
18383,NOVO NORDISK INC                                  
18384,NOVO NORDISK INC                                  
18385,NOVO NORDISK INC                                  
18386,B BRAUN                                           
18388,HOSPIRA                                           
18389,MERCK                                             
18397,SCHERING PLOUGH                                   
18398,BAXTER HLTHCARE                                   
18399,MILES                                             
18400,MILES                                             
18401,RECKITT BENCKISER                                 
18405,DURAMED RES                                       
18406,HOSPIRA INC                                       
18413,IVAX SUB TEVA PHARMS                              
18415,DAVA PHARMS INC                                   
18417,MILES                                             
18418,NOVARTIS                                          
18419,WARNER CHILCOTT                                   
18420,WARNER CHILCOTT                                   
18421,ROXANE                                            
18422,PFIZER PHARMS                                     
18423,MOLNLYCKE HLTH                                    
18429,HOSPIRA                                           
18439,WATSON LABS                                       
18440,ABRAXIS PHARM                                     
18445,MERCK                                             
18449,FRESENIUS                                         
18450,ABBOTT                                            
18452,MONARCH PHARMS                                    
18458,SANOFI AVENTIS US                                 
18459,XANODYNE PHARM                                    
18460,B BRAUN                                           
18461,BAXTER HLTHCARE                                   
18462,ABBOTT                                            
18465,ALPHA THERA                                       
18467,PHARMALUCENCE                                     
18469,ALCON                                             
18470,NOVARTIS                                          
18471,SCHERING PLOUGH                                   
18473,GLAXOSMITHKLINE                                   
18476,LILLY                                             
18477,LILLY                                             
18478,LILLY                                             
18479,LILLY                                             
18482,PFIZER                                            
18484,PHARMACIA AND UPJOHN                              
18485,FSC                                               
18487,MYLAN                                             
18489,DRAXIMAGE                                         
18494,BAXTER HLTHCARE                                   
18495,BAXTER HLTHCARE                                   
18497,BAXTER HLTHCARE                                   
18498,ASTELLAS                                          
18499,MILES                                             
18500,MILES                                             
18501,MILES                                             
18502,MILES                                             
18503,MILES                                             
18504,MILES                                             
18506,SCHERING                                          
18507,ABRAXIS PHARM                                     
18508,BAXTER HLTHCARE                                   
18509,MALLINCKRODT LLC                                  
18511,DRAXIMAGE                                         
18512,BAXTER HLTHCARE                                   
18513,SIGMA TAU                                         
18514,TRIAX PHARMS LLC                                  
18517,IVAX SUB TEVA PHARMS                              
18519,BAXTER HLTHCARE                                   
18520,INSIGHT PHARMS                                    
18521,SCHERING                                          
18522,BAXTER HLTHCARE                                   
18523,BAXTER HLTHCARE                                   
18531,HOSPIRA                                           
18533,ORTHO MCNEIL JANSSEN                              
18535,GD SEARLE LLC                                     
18536,MALLINCKRODT                                      
18537,HOSPIRA                                           
18538,SANOFI AVENTIS US                                 
18543,INTL MEDICATION                                   
18548,BRACCO                                            
18549,LYPHOMED                                          
18550,ROCHE                                             
18551,ROXANE                                            
18553,AKRIMAX PHARMS                                    
18554,SCHERING                                          
18555,ASTRAZENECA                                       
18556,SCHERING PLOUGH                                   
18557,ROCHE                                             
18558,ROXANE                                            
18561,HOSPIRA                                           
18562,HOSPIRA                                           
18563,HOSPIRA                                           
18564,HOSPIRA                                           
18565,BAXTER HLTHCARE                                   
18569,SANDOZ                                            
18571,AAIPHARMA LLC                                     
18578,DR REDDYS LA                                      
18579,LUITPOLD                                          
18580,ASTRAZENECA                                       
18581,BAXTER HLTHCARE                                   
18582,B BRAUN                                           
18584,GLAXOSMITHKLINE                                   
18586,TARO PHARMS NORTH                                 
18587,WYETH AYERST                                      
18588,PARKE DAVIS                                       
18590,BAXTER HLTHCARE                                   
18592,PERSONAL PRODS                                    
18593,FSC                                               
18594,TARO PHARMS NORTH                                 
18596,KING PHARMS                                       
18598,SANDOZ                                            
18599,WATSON LABS                                       
18602,VALEANT INTL                                      
18603,GLAXOSMITHKLINE                                   
18604,VALEANT INTL                                      
18605,PHARMACIA AND UPJOHN                              
18608,HOSPIRA                                           
18609,BAXTER HLTHCARE                                   
18612,GLAXOSMITHKLINE                                   
18613,TARO PHARMS NORTH                                 
18614,ABBOTT                                            
18615,ACTAVIS MID ATLANTIC                              
18620,SANDOZ                                            
18621,SANOFI AVENTIS US                                 
18623,NOVO NORDISK INC                                  
18625,ABBOTT                                            
18629,BAXTER HLTHCARE                                   
18631,SANOFI AVENTIS US                                 
18632,BAXTER HLTHCARE                                   
18634,ALCON PHARMS LTD                                  
18642,TEVA                                              
18644,GLAXOSMITHKLINE                                   
18647,KING PHARMS                                       
18649,BAXTER HLTHCARE                                   
18651,ABBOTT PRODS                                      
18652,TRIAX PHARMS LLC                                  
18654,HLR                                               
18655,GD SEARLE LLC                                     
18656,ASTRAZENECA                                       
18657,BAXTER HLTHCARE                                   
18658,RECKITT BENCKISER                                 
18659,MYLAN                                             
18660,BAXTER HLTHCARE                                   
18662,HOFFMANN LA ROCHE                                 
18663,CHART MEDCL                                       
18664,ANBEX                                             
18667,HOSPIRA                                           
18668,DURAMED RES                                       
18669,BAYER PHARMS                                      
18670,WYETH AYERST                                      
18671,SYNCOR PHARMS                                     
18672,POHL BOSKAMP                                      
18674,B BRAUN                                           
18675,NOVARTIS                                          
18676,B BRAUN                                           
18677,MEDA PHARMS                                       
18678,BAXTER HLTHCARE                                   
18679,TEVA                                              
18680,DURAMED RES                                       
18681,B BRAUN                                           
18682,PFIZER                                            
18683,AZTIQ PHARMA                                      
18684,BAXTER HLTHCARE                                   
18685,SANOFI AVENTIS US                                 
18686,SCHERING                                          
18687,SCHERING                                          
18689,PROMETHEUS LABS                                   
18690,WATSON LABS                                       
18692,HOSPIRA                                           
18700,SANOFI AVENTIS US                                 
18701,JANSSEN PHARMS                                    
18702,FOUGERA PHARMS                                    
18703,GLAXOSMITHKLINE                                   
18704,NOVARTIS                                          
18705,POHL BOSKAMP                                      
18706,NOVARTIS                                          
18707,FOUGERA PHARMS                                    
18708,QUESTCOR PHARMS                                   
18709,APOTHECON                                         
18713,BAYER HLTHCARE                                    
18714,BAYER PHARMA AG                                   
18716,PROMETHEUS LABS                                   
18719,BIOENVISION                                       
18721,B BRAUN                                           
18722,B BRAUN                                           
18723,ABBOTT                                            
18725,B BRAUN                                           
18726,RANBAXY                                           
18730,IVAX SUB TEVA PHARMS                              
18731,BRISTOL MYERS SQUIBB                              
18733,SANOFI AVENTIS US                                 
18735,BRACCO                                            
18737,RANBAXY                                           
18738,RANBAXY                                           
18740,SANDOZ                                            
18741,SCHERING                                          
18744,B BRAUN                                           
18746,NOVARTIS                                          
18747,FISONS                                            
18748,MEDICIS                                           
18749,MISSION PHARMA                                    
18750,SANDOZ                                            
18751,ORTHO JANSSEN                                     
18753,INTL MEDICATION                                   
18754,WYETH AYERST                                      
18757,MISSION PHARMA                                    
18758,BAXTER HLTHCARE                                   
18760,ASTRAZENECA                                       
18761,BOEHRINGER INGELHEIM                              
18762,NOVARTIS                                          
18763,TARO PHARMS NORTH                                 
18764,WATSON LABS                                       
18766,PHARMACIA AND UPJOHN                              
18768,BRISTOL MYERS SQUIBB                              
18770,SANOFI AVENTIS US                                 
18771,ATON                                              
18774,RORER                                             
18776,ORGANON USA INC                                   
18777,NOVO NORDISK INC                                  
18778,NOVO NORDISK INC                                  
18780,LILLY                                             
18781,LILLY                                             
18782,DURAMED                                           
18785,WATSON LABS                                       
18786,ALPHA THERA                                       
18790,MUTUAL PHARM                                      
18792,HOSPIRA                                           
18793,GRAHAM DM                                         
18794,GRAHAM DM                                         
18795,YAMANOUCHI                                        
18796,ALCON                                             
18799,BAXTER HLTHCARE CORP                              
18800,HOSPIRA                                           
18801,HOSPIRA                                           
18802,HOSPIRA                                           
18803,HOSPIRA                                           
18804,ABBOTT                                            
18806,PARKE DAVIS                                       
18807,B BRAUN                                           
18809,CENT PHARMS                                       
18810,COVIDIEN                                          
18812,TEVA                                              
18813,SCHERING                                          
18814,BAXTER HLTHCARE                                   
18817,GD SEARLE LLC                                     
18818,MUTUAL PHARM                                      
18821,ROBINS AH                                         
18823,ROXANE                                            
18826,HOSPIRA                                           
18827,SCHERING                                          
18828,GLAXOSMITHKLINE                                   
18829,VINTAGE                                           
18830,MEDICIS                                           
18831,HOSPIRA                                           
18832,WATSON LABS                                       
18833,BAYER PHARMS                                      
18839,ROACO                                             
18840,BAXTER HLTHCARE                                   
18841,GD SEARLE                                         
18843,GRAHAM DM                                         
18844,GRAHAM DM                                         
18845,PAR PHARM                                         
18849,MEDICIS                                           
18851,HERITAGE PHARMS INC                               
18852,WATSON LABS                                       
18854,WATSON LABS                                       
18856,LYNE                                              
18858,MYLAN                                             
18859,VALEANT PHARM INTL                                
18860,PHARMADERM                                        
18861,FOUGERA                                           
18862,SAVAGE LABS                                       
18863,SAVAGE LABS                                       
18864,PHARMADERM                                        
18865,FOUGERA                                           
18866,FOUGERA                                           
18867,SAVAGE LABS                                       
18868,KALAPHARM                                         
18869,BAYER PHARMS                                      
18870,PHARMADERM                                        
18871,ORTHO MCNEIL PHARM                                
18872,NOVARTIS                                          
18873,BOEHRINGER INGELHEIM                              
18874,ABBOTT                                            
18875,ABBOTT                                            
18876,HOSPIRA                                           
18877,WATSON LABS                                       
18878,LUNDBECK INC                                      
18883,FRESENIUS MEDCL                                   
18885,NOVARTIS                                          
18887,KING PHARMS                                       
18888,INSIGHT PHARMS                                    
18889,ABBOTT                                            
18890,HOSPIRA                                           
18891,BOEHRINGER INGELHEIM                              
18892,HOSPIRA                                           
18893,HOSPIRA                                           
18894,IVAX SUB TEVA PHARMS                              
18895,HOSPIRA                                           
18896,HOSPIRA                                           
18897,HOSPIRA                                           
18899,B BRAUN                                           
18900,B BRAUN                                           
18901,HOSPIRA                                           
18902,APP PHARMS                                        
18904,HOSPIRA                                           
18905,GUERBET                                           
18907,ELKINS SINN                                       
18911,HOSPIRA                                           
18916,HOSPIRA                                           
18917,PROMIUS PHARMA                                    
18920,HOSPIRA                                           
18921,BAXTER HLTHCARE                                   
18922,WYETH PHARMS INC                                  
18923,ABBOTT                                            
18924,HOSPIRA                                           
18925,GD SEARLE LLC                                     
18926,GD SEARLE LLC                                     
18927,NOVARTIS                                          
18928,FISONS                                            
18930,PAR PHARM                                         
18931,BAXTER HLTHCARE                                   
18932,DURAMED                                           
18933,ASTRAZENECA                                       
18934,SANDOZ                                            
18935,SCHWARZ PHARMA                                    
18936,LILLY                                             
18938,SANOFI AVENTIS US                                 
18946,HEATHER                                           
18947,HOSPIRA                                           
18948,SIGMA TAU                                         
18954,ABBOTT                                            
18956,GE HEALTHCARE                                     
18959,HOSPIRA                                           
18960,HOSPIRA                                           
18961,HOSPIRA                                           
18962,HOSPIRA                                           
18963,BRACCO                                            
18965,ROCHE PALO                                        
18967,B BRAUN                                           
18969,HOSPIRA                                           
18970,HOSPIRA                                           
18972,WYETH PHARMS INC                                  
18976,SCHWARZ PHARMA                                    
18977,WATSON LABS                                       
18983,MEDA PHARMS                                       
18985,JANSSEN PHARMS                                    
18986,MERIDIAN MEDCL TECHN                              
18988,NOVARTIS                                          
18989,WYETH CONS                                        
18991,HOSPIRA                                           
18996,GLAXOSMITHKLINE                                   
18997,HOSPIRA                                           
18998,VALEANT INTL                                      
19001,MEDPOINTE PHARM HLC                               
19002,JOHNSON AND JOHNSON                               
19004,ORTHO MCNEIL PHARM                                
19005,ABBOTT                                            
19006,B BRAUN                                           
19008,HOSPIRA INC                                       
19009,MEDICIS                                           
19010,ABBOTT LABS                                       
19011,BRAINTREE                                         
19012,MCNEIL                                            
19014,PARKE DAVIS                                       
19018,B BRAUN                                           
19022,BAXTER HLTHCARE                                   
19024,B BRAUN                                           
19025,B BRAUN                                           
19028,3M                                                
19029,LNK                                               
19030,HOSPIRA                                           
19032,PROMIUS PHARMA                                    
19033,HOSPIRA                                           
19034,PURDUE PHARM PRODS                                
19036,ABRAXIS PHARM                                     
19037,JANSSEN PHARMA                                    
19038,GD SEARLE LLC                                     
19039,PHARMALUCENCE                                     
19042,B BRAUN                                           
19044,GE HEALTHCARE                                     
19046,SCHERING                                          
19047,BAXTER HLTHCARE                                   
19048,GALDERMA LABS LP                                  
19049,ORTHO JANSSEN                                     
19050,AKORN                                             
19055,XTTRIUM                                           
19057,ABBOTT                                            
19058,ASTRAZENECA                                       
19059,WYETH AYERST                                      
19065,NOVO NORDISK INC                                  
